,Ref to signal ratio,Pulse type,Amplitude,Phase,Q,P,Bob's quadrature,Bob's quadrature value,alpha,T_eff,Rotated Q,Rotated P,Ultimate state,Alice bits,Linear difference
0,2,ref,1.0,0.0,1.0,0.0,Q,0.7867389616848364,0.11470797294051452,0.7919434149560989,0.7867389616848364,0.090643139064098,-,-,-
1,4,ref,1.0,0.0,1.0,0.0,P,0.090643139064098,0.11470797294051452,0.7919434149560989,0.7867389616848364,0.090643139064098,-,-,-
2,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2186158757896825,0.11470797294051452,0.7919434149560989,-0.21861587578968245,-0.13814117822117639,-0.21861587578968245,011001000000,5.551115123125783e-17
3,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1381411782211764,0.11470797294051452,0.7919434149560989,-0.13814117822117639,0.21861587578968253,-0.13814117822117639,011011100101,2.7755575615628914e-17
4,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2357269870952381,0.11470797294051452,0.7919434149560989,-0.21861587578968245,-0.13814117822117639,-0.21861587578968245,011001000000,0.01711111130555565
5,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1410901978745098,0.11470797294051452,0.7919434149560989,-0.13814117822117639,0.21861587578968253,-0.13814117822117639,011011100101,0.0029490196533334123
6,2,ref,1.0,0.0,1.0,0.0,Q,0.7910601875871469,0.11256114125880512,0.7960981509358949,0.7910601875871469,0.0894206102536702,-,-,-
7,4,ref,1.0,0.0,1.0,0.0,P,0.0894206102536702,0.11256114125880512,0.7960981509358949,0.7910601875871469,0.0894206102536702,-,-,-
8,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2209437527929688,0.11256114125880512,0.7960981509358949,-0.22006040516976189,-0.13839378850633238,-0.22006040516976189,011000111101,0.0008833476232069093
9,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1390330726456693,0.11256114125880512,0.7960981509358949,-0.13839378850633238,0.220060405169762,-0.13839378850633238,011011100100,0.0006392841393369209
10,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2376937529785156,0.11256114125880512,0.7960981509358949,-0.22006040516976189,-0.13839378850633238,-0.22006040516976189,011000111101,0.017633347808753724
11,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1422771671685039,0.11256114125880512,0.7960981509358949,-0.13839378850633238,0.220060405169762,-0.13839378850633238,011011100100,0.003883378662171505
12,2,ref,1.0,0.0,1.0,0.0,Q,0.7885287927609755,0.10921948398382723,0.7932554219235276,0.7885287927609755,0.0864667993971807,-,-,-
13,4,ref,1.0,0.0,1.0,0.0,P,0.0864667993971807,0.10921948398382723,0.7932554219235276,0.7885287927609755,0.0864667993971807,-,-,-
14,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2201312527890625,0.10921948398382723,0.7932554219235276,-0.21973419555538623,-0.13716609902514734,-0.21973419555538623,011000111110,0.000397057233676279
15,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1362614190299212,0.10921948398382723,0.7932554219235276,-0.13716609902514731,0.21973419555538626,-0.13716609902514731,011011100111,-0.0009046799952261153
16,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2362250029746094,0.10921948398382723,0.7932554219235276,-0.21973419555538623,-0.13716609902514734,-0.21973419555538623,011000111110,0.01649080741922318
17,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1407653561374015,0.10921948398382723,0.7932554219235276,-0.13716609902514731,0.21973419555538626,-0.13716609902514731,011011100111,0.0035992571122541728
18,2,ref,1.0,0.0,1.0,0.0,Q,0.7880448903219511,0.10859927174787842,0.7927148588648057,0.7880448903219511,0.0859191381620706,-,-,-
19,4,ref,1.0,0.0,1.0,0.0,P,0.0859191381620706,0.10859927174787842,0.7927148588648057,0.7880448903219511,0.0859191381620706,-,-,-
20,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.218443752765625,0.10859927174787842,0.7927148588648057,-0.21966942980508034,-0.13693641201139878,-0.21966942980508034,011000111110,-0.0012256770394553362
21,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1387496080547244,0.10859927174787842,0.7927148588648057,-0.13693641201139875,0.2196694298050804,-0.13693641201139875,011011100111,0.0018131960433256378
22,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2371937529804687,0.10859927174787842,0.7927148588648057,-0.21966942980508034,-0.13693641201139878,-0.21966942980508034,011000111110,0.01752432317538835
23,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1407968522047243,0.10859927174787842,0.7927148588648057,-0.13693641201139875,0.2196694298050804,-0.13693641201139875,011011100111,0.0038604401933255428
24,2,ref,1.0,0.0,1.0,0.0,Q,0.7912349637883495,0.10416202050604144,0.7955467957382742,0.7912349637883495,0.0827159977772423,-,-,-
25,4,ref,1.0,0.0,1.0,0.0,P,0.0827159977772423,0.10416202050604144,0.7955467957382742,0.7912349637883495,0.0827159977772423,-,-,-
26,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2213276292723735,0.10416202050604144,0.7955467957382742,-0.22106180828335992,-0.1364460506487728,-0.22106180828335992,011000111011,0.0002658209890135932
