,Pulse type,Quadrature,Value,Bits
0,ref,Q,0.7867389616848364,111001001010
1,ref,P,0.09064313906409803,100010111001
2,signal,Q,-0.21861587578968256,011001000000
3,signal,Q,-0.13814117822117644,011011100101
4,signal,Q,-0.23572698709523812,011000011101
5,signal,Q,-0.1410901978745098,011011011111
6,ref,Q,0.7910601875871469,111001010011
7,ref,P,0.08942061025367026,100010110111
8,signal,Q,-0.2209437527929688,011000111011
9,signal,Q,-0.1390330726456693,011011100011
10,signal,Q,-0.23769375297851564,011000011001
11,signal,Q,-0.14227716716850392,011011011100
12,ref,Q,0.7885287927609755,111001001110
13,ref,P,0.08646679939718074,100010110000
14,signal,Q,-0.2201312527890625,011000111101
15,signal,Q,-0.13626141902992128,011011101001
16,signal,Q,-0.2362250029746094,011000011100
17,signal,Q,-0.14076535613740154,011011011111
18,ref,Q,0.7880448903219511,111001001101
19,ref,P,0.08591913816207065,100010101111
20,signal,Q,-0.218443752765625,011001000000
21,signal,Q,-0.1387496080547244,011011100011
22,signal,Q,-0.23719375298046877,011000011010
23,signal,Q,-0.14079685220472438,011011011111
24,ref,Q,0.7912349637883495,111001010011
25,ref,P,0.08271599777724238,100010101001
26,signal,Q,-0.22132762927237357,011000111010
27,signal,Q,-0.136607875711811,011011101000
28,signal,Q,-0.23605136484630354,011000011100
29,signal,Q,-0.1398834663531496,011011100001
30,ref,Q,0.7902344816280428,111001010001
31,ref,P,0.08165073914846607,100010100111
32,signal,Q,-0.21988125276171877,011000111101
33,signal,Q,-0.13862362379291338,011011100100
34,signal,Q,-0.23697500296484378,011000011010
35,signal,Q,-0.1399149624011811,011011100001
36,ref,Q,0.794337996877907,111001011010
37,ref,P,0.07801018773145935,100010011111
38,signal,Q,-0.22133643690891477,011000111010
39,signal,Q,-0.13748235465647057,011011100110
40,signal,Q,-0.23770853010077525,011000011001
41,signal,Q,-0.13958431549450978,011011100010
42,ref,Q,0.7968539406517944,111001011111
43,ref,P,0.07585098200453921,100010011011
44,signal,Q,-0.21886848524708175,011000111111
45,signal,Q,-0.136196080125098,011011101001
46,signal,Q,-0.23608249324124517,011000011100
47,signal,Q,-0.13952157039529411,011011100010
48,ref,Q,0.7918241368443579,111001010100
49,ref,P,0.0745197268091364,100010011000
50,signal,Q,-0.22101634519649807,011000111011
51,signal,Q,-0.13789921432755906,011011100101
52,signal,Q,-0.23595797962840473,011000011100
53,signal,Q,-0.13982047422519683,011011100001
54,ref,Q,0.7972419135033947,111001011111
55,ref,P,0.07186562041014737,100010010011
56,signal,Q,-0.2207673179669261,011000111100
57,signal,Q,-0.1356944899043307,011011101010
58,signal,Q,-0.2360824932373541,011000011100
59,signal,Q,-0.13928504113228346,011011100010
60,ref,Q,0.7952372217122092,111001011011
61,ref,P,0.06940098286994113,100010001110
62,signal,Q,-0.21888682445542637,011000111111
63,signal,Q,-0.13638740329409446,011011101000
64,signal,Q,-0.23758449910852716,011000011001
65,signal,Q,-0.13887559232401572,011011100011
66,ref,Q,0.7974575734195122,111001100000
67,ref,P,0.06318312213334643,100010000001
68,signal,Q,-0.22100625277539065,011000111011
69,signal,Q,-0.13695433241889762,011011100111
70,signal,Q,-0.2361312529726563,011000011100
71,signal,Q,-0.13818267888897637,011011100101
72,ref,Q,0.7942557628684209,111001011001
73,ref,P,0.06732338066761295,100010001001
74,signal,Q,-0.22028750278515627,011000111101
75,signal,Q,-0.13613543476771653,011011101001
76,signal,Q,-0.23553750296679693,011000011101
77,signal,Q,-0.13824567103307087,011011100101
78,ref,Q,0.7993680047361784,111001100100
79,ref,P,0.06375686418758823,100010000010
80,signal,Q,-0.2198645942217899,011000111101
81,signal,Q,-0.1360078448388235,011011101001
82,signal,Q,-0.23564669559143972,011000011101
83,signal,Q,-0.1382352958662745,011011100101
84,ref,Q,0.7954505960836574,111001011100
85,ref,P,0.06921256284810598,100010001101
86,signal,Q,-0.2220124541731518,011000111001
87,signal,Q,-0.13748976549763778,011011100110
88,signal,Q,-0.23692296019260703,011000011011
89,signal,Q,-0.13774173400275588,011011100110
90,ref,Q,0.7930046635290696,111001010111
91,ref,P,0.06825882503080391,100010001011
92,signal,Q,-0.2206542663643411,011000111100
93,signal,Q,-0.13814117819764704,011011100101
94,signal,Q,-0.23622015802131785,011000011100
95,signal,Q,-0.139458825305098,011011100010
96,ref,Q,0.7965990368282926,111001011110
97,ref,P,0.0720235309612647,100010010011
98,signal,Q,-0.22172500279882812,011000111010
99,signal,Q,-0.13641568799921566,011011101000
100,signal,Q,-0.2382562530058594,011000011000
101,signal,Q,-0.13961568804823526,011011100010
102,ref,Q,0.7942778009330745,111001011001
103,ref,P,0.07450402514544652,100010011000
104,signal,Q,-0.21877510004669262,011001000000
105,signal,Q,-0.13755275763622046,011011100110
106,signal,Q,-0.2356778239824903,011000011101
107,signal,Q,-0.1407023640055118,011011011111
108,ref,Q,0.7945208700896685,111001011010
109,ref,P,0.07704769544416094,100010011101
110,signal,Q,-0.2203500027949219,011000111100
111,signal,Q,-0.13890708837125978,011011100011
112,signal,Q,-0.23669375297460943,011000011011
113,signal,Q,-0.14057637973740153,011011100000
114,ref,Q,0.7922758610281281,111001010101
115,ref,P,0.08337053216656189,100010101010
116,signal,Q,-0.21942879653891054,011000111110
117,signal,Q,-0.13868661593031492,011011100100
118,signal,Q,-0.23692296020038917,011000011011
119,signal,Q,-0.14070236399409447,011011011111
120,ref,Q,0.7896248184835271,111001010000
121,ref,P,0.08800746007545633,100010110100
122,signal,Q,-0.2192279097286822,011000111111
123,signal,Q,-0.13827716709921256,011011100100
124,signal,Q,-0.2356000029651163,011000011101
125,signal,Q,-0.14174173409212595,011011011101
126,ref,Q,0.7882518641296296,111001001101
127,ref,P,0.09103271485182174,100010111010
128,signal,Q,-0.21981875277539065,011000111110
129,signal,Q,-0.1394274527407843,011011100010
130,signal,Q,-0.23731875299218752,011000011010
131,signal,Q,-0.14200000181098035,011011011101
132,ref,Q,0.7858191155224171,111001001000
133,ref,P,0.09631364272337585,100011000101
134,signal,Q,-0.2207250027871094,011000111100
135,signal,Q,-0.1393795293043307,011011100010
136,signal,Q,-0.23466250296679692,011000011111
137,signal,Q,-0.1428755923700787,011011011011
138,ref,Q,0.7854360394761442,111001000111
139,ref,P,0.10010923574600196,100011001100
140,signal,Q,-0.2202875028027344,011000111101
141,signal,Q,-0.1407338600582677,011011011111
142,signal,Q,-0.23531875298046878,011000011110
143,signal,Q,-0.14385197034645666,011011011001
144,ref,Q,0.7851102561160974,111001000111
145,ref,P,0.10077291659694798,100011001110
146,signal,Q,-0.219725002765625,011000111110
147,signal,Q,-0.14098582855196848,011011011111
148,signal,Q,-0.2352250029667969,011000011110
149,signal,Q,-0.14287559236850392,011011011011
150,ref,Q,0.7789756218643902,111000111010
151,ref,P,0.10713477615324164,100011011011
152,signal,Q,-0.21975625276953126,011000111110
153,signal,Q,-0.14126929314094483,011011011110
154,signal,Q,-0.2350375029589844,011000011110
155,signal,Q,-0.1443559073452756,011011011000
156,ref,Q,0.7799521055881208,111000111100
157,ref,P,0.10573464386407262,100011011000
158,signal,Q,-0.21991250276953128,011000111101
159,signal,Q,-0.14104882068031496,011011011111
160,signal,Q,-0.23619375299218753,011000011100
161,signal,Q,-0.14432441128897636,011011011000
162,ref,Q,0.7799243785984405,111000111100
163,ref,P,0.1090790992486359,100011011111
164,signal,Q,-0.21894375277148437,011000111111
165,signal,Q,-0.1400724427129921,011011100001
166,signal,Q,-0.2366000029882813,011000011011
167,signal,Q,-0.14347401757480313,011011011010
168,ref,Q,0.7825538583427458,111001000001
169,ref,P,0.10600314547658153,100011011000
170,signal,Q,-0.21972500277539064,011000111110
171,signal,Q,-0.14004094663346456,011011100001
172,signal,Q,-0.23688125297656254,011000011011
173,signal,Q,-0.142749608107874,011011011011
174,ref,Q,0.7791237475223736,111000111010
175,ref,P,0.10579745053300293,100011011000
176,signal,Q,-0.21908638407003894,011000111111
177,signal,Q,-0.13956850570039367,011011100010
178,signal,Q,-0.2360824932431907,011000011100
179,signal,Q,-0.14246614354409445,011011011100
180,ref,Q,0.7837606359961014,111001000100
181,ref,P,0.10443140537104023,100011010101
182,signal,Q,-0.21875625276562502,011001000000
183,signal,Q,-0.14054488368070864,011011100000
184,signal,Q,-0.23585000297656256,011000011101
185,signal,Q,-0.14385197032834643,011011011001
186,ref,Q,0.7856713300455425,111001001000
187,ref,P,0.10082871386915437,100011001110
188,signal,Q,-0.21953798725581397,011000111110
189,signal,Q,-0.14035590729527558,011011100000
190,signal,Q,-0.23439070064728687,011000100000
191,signal,Q,-0.1420251986570866,011011011101
192,ref,Q,0.7824871370503388,111001000001
193,ref,P,0.09936558700202557,100011001011
194,signal,Q,-0.22037519656976745,011000111100
195,signal,Q,-0.13890708836496063,011011100011
196,signal,Q,-0.23451473164728687,011000011111
197,signal,Q,-0.14315905695433068,011011011010
198,ref,Q,0.7851102561326828,111001000111
199,ref,P,0.09552157051567646,100011000011
200,signal,Q,-0.22166250282031252,011000111010
201,signal,Q,-0.13889411938941174,011011100011
202,signal,Q,-0.23466250299218752,011000011111
203,signal,Q,-0.1420627469007843,011011011101
204,ref,Q,0.7828651284496123,111001000010
205,ref,P,0.09469019795462744,100011000001
206,signal,Q,-0.21863876244573646,011001000000
207,signal,Q,-0.13999215864470588,011011100001
208,signal,Q,-0.2353829487073644,011000011110
209,signal,Q,-0.14215686455686272,011011011101
210,ref,Q,0.787004300730994,111001001010
211,ref,P,0.09002977654175319,100010111000
212,signal,Q,-0.22091250279687502,011000111011
213,signal,Q,-0.1393960801945098,011011100010
214,signal,Q,-0.2357250029746094,011000011101
215,signal,Q,-0.14269019788784312,011011011011
216,ref,Q,0.7889190366760974,111001001110
217,ref,P,0.09521452594297349,100011000010
218,signal,Q,-0.2192875027636719,011000111111
219,signal,Q,-0.13834015922992124,011011100100
220,signal,Q,-0.23750625300000006,011000011001
221,signal,Q,-0.1413007892114173,011011011110
222,ref,Q,0.7885742620242013,111001001110
223,ref,P,0.09279646897712462,100010111101
224,signal,Q,-0.21981705700775198,011000111110
225,signal,Q,-0.13975748209015748,011011100001
226,signal,Q,-0.2358480649903101,011000011101
227,signal,Q,-0.1430015766082677,011011011011
228,ref,Q,0.7883687622802733,111001001101
229,ref,P,0.09169640612286686,100010111011
230,signal,Q,-0.22000625279882813,011000111101
231,signal,Q,-0.13805914569961086,011011100101
232,signal,Q,-0.2358500029726563,011000011101
233,signal,Q,-0.14244825083073928,011011011100
234,ref,Q,0.7858814936978558,111001001000
235,ref,P,0.09065882535518627,100010111001
236,signal,Q,-0.2203812527890625,011000111100
237,signal,Q,-0.13854902135725491,011011100100
238,signal,Q,-0.23588125297265627,011000011101
239,signal,Q,-0.14187451163490195,011011011101
240,ref,Q,0.7886885113109162,111001001110
241,ref,P,0.09210559556879293,100010111100
242,signal,Q,-0.22006875275195315,011000111101
243,signal,Q,-0.13758425369960628,011011100110
244,signal,Q,-0.23481875297265628,011000011111
245,signal,Q,-0.14227716718110237,011011011100
246,ref,Q,0.7851131905058139,111001000111
247,ref,P,0.09713012949630029,100011000110
248,signal,Q,-0.21789457637209306,011001000001
249,signal,Q,-0.1398834663602362,011011100001
250,signal,Q,-0.23587907275000006,011000011101
251,signal,Q,-0.14164724589330707,011011011110
252,ref,Q,0.781587938150925,111000111111
253,ref,P,0.10195054173421,100011010000
254,signal,Q,-0.2198812527714844,011000111101
255,signal,Q,-0.13950551358385824,011011100010
256,signal,Q,-0.23419375296289066,011000100000
257,signal,Q,-0.14290708842795274,011011011011
258,ref,Q,0.782086477600779,111001000000
259,ref,P,0.1046357584132613,100011010110
260,signal,Q,-0.22091250279296878,011000111011
261,signal,Q,-0.13947401752874017,011011100010
262,signal,Q,-0.23469375296875006,011000011111
263,signal,Q,-0.1430645687555118,011011011011
264,ref,Q,0.7795470423106134,111000111011
265,ref,P,0.11118312285292442,100011100011
266,signal,Q,-0.22056875279101565,011000111100
267,signal,Q,-0.1408913403555118,011011011111
268,signal,Q,-0.23510000296289066,011000011110
269,signal,Q,-0.14230866323425195,011011011100
270,ref,Q,0.7794822967241046,111000111011
271,ref,P,0.11453752677455796,100011101010
272,signal,Q,-0.21984806479457367,011000111101
273,signal,Q,-0.14139527739960628,011011011110
274,signal,Q,-0.23525891769573645,011000011110
275,signal,Q,-0.1449543325669291,011011010111
276,ref,Q,0.7747421430488759,111000110001
277,ref,P,0.12005858618659554,100011110101
278,signal,Q,-0.2193333361156863,011000111111
279,signal,Q,-0.14219922361673148,011011011100
280,signal,Q,-0.23539608140784318,011000011110
281,signal,Q,-0.1449696516723735,011011010111
282,ref,Q,0.7749355524634859,111000110010
283,ref,P,0.12105882586587255,100011110111
284,signal,Q,-0.21869375274414066,011001000000
285,signal,Q,-0.1427529429882353,011011011011
286,signal,Q,-0.2351000029726563,011000011110
287,signal,Q,-0.14378823714470587,011011011001
288,ref,Q,0.7752772050419103,111000110010
289,ref,P,0.12559174282959684,100100000001
290,signal,Q,-0.21747500272070314,011001000010
291,signal,Q,-0.14186771835039366,011011011101
292,signal,Q,-0.23219375294726563,011000100100
293,signal,Q,-0.14662362392125983,011011010011
294,ref,Q,0.7715033258557504,111000101011
295,ref,P,0.12788869469783676,100100000101
296,signal,Q,-0.21938125274414066,011000111110
297,signal,Q,-0.14271811205314958,011011011011
298,signal,Q,-0.2351937529804688,011000011110
299,signal,Q,-0.14577323023031494,011011010101
300,ref,Q,0.7727629388760976,111000101101
301,ref,P,0.13083137508015685,100100001011
302,signal,Q,-0.21922500278515628,011000111111
303,signal,Q,-0.14416470773058823,011011011000
304,signal,Q,-0.23356875295507817,011000100001
305,signal,Q,-0.14651764893921568,011011010100
306,ref,Q,0.7671187619794921,111000100010
307,ref,P,0.13748448200383104,100100011001
308,signal,Q,-0.21713125274414063,011001000011
309,signal,Q,-0.14252913567125983,011011011100
310,signal,Q,-0.23369375297656253,011000100001
311,signal,Q,-0.14769449007047242,011011010001
312,ref,Q,0.7673463534409756,111000100010
313,ref,P,0.13830253674829432,100100011011
314,signal,Q,-0.21875625275390628,011001000000
315,signal,Q,-0.1444437518457031,011011011000
316,signal,Q,-0.23310000294335942,011000100010
317,signal,Q,-0.14685000186874997,011011010011
318,ref,Q,0.7689229388253659,111000100101
319,ref,P,0.1379625026262988,100100011010
320,signal,Q,-0.21860000275000002,011001000000
321,signal,Q,-0.14447500185546872,011011011000
